CH_1_us,CH_1_v
7660000.247808,-4.840000
7680000.262144,-4.840000
7699999.752192,-4.800000
7719999.766528,-4.880000
7739999.780864,-4.840000
7759999.795200,-4.800000
7779999.809536,-4.840000
7799999.823872,-4.840000
7819999.838208,-4.840000
7839999.852544,-5.240000
7859999.866880,-4.840000
7879999.881216,-4.800000
7899999.895552,-4.800000
7919999.909888,-4.800000
7939999.924224,-4.840000
7959999.938560,-4.760000
7979999.952896,-4.840000
7999999.967232,-4.840000
8019999.981568,-4.840000
8039999.995904,-4.800000
8060000.010240,-4.880000
8080000.024576,-4.840000
8100000.038912,-4.800000
8120000.053248,-4.840000
8140000.067584,-4.800000
8160000.081920,-4.840000
8180000.096256,-4.800000
8200000.110592,-5.000000
8220000.124928,-4.880000
8240000.139264,-4.960000
8260000.153600,-4.800000
8280000.167936,-4.840000
8300000.182272,-4.840000
8320000.196608,-4.840000
8340000.210944,-4.760000
8360000.225280,-4.800000
8380000.239616,-4.840000
8400000.253952,-4.840000
8419999.744000,-4.760000
8439999.758336,-4.800000
8459999.772672,-4.800000
8479999.787008,-4.840000
8499999.801344,-4.840000
8519999.815680,-4.840000
8539999.830016,-4.840000
8559999.844352,-4.800000
8579999.858688,-4.840000
8599999.873024,-4.840000
8619999.887360,-4.800000
8639999.901696,-4.840000
8659999.916032,-4.840000
8679999.930368,-4.840000
8699999.944704,-4.840000
8719999.959040,-4.840000
8739999.973376,-4.800000
8759999.987712,-4.760000
8780000.002048,-5.080000
8800000.016384,-4.840000
8819999.506432,-4.840000
8840000.045056,-4.840000
8859999.535104,-4.800000
8880000.073728,-4.880000
8899999.563776,-4.840000
8920000.102400,-4.880000
8939999.592448,-4.760000
8960000.131072,-4.800000
8979999.621120,-4.840000
9000000.159744,-4.760000
9019999.649792,-4.960000
9040000.188416,-4.800000
9059999.678464,-4.840000
9080000.217088,-4.840000
9099999.707136,-4.840000
9120000.245760,-4.800000
9139999.735808,-4.840000
9160000.274432,-4.840000
9179999.764480,-4.840000
9200000.303104,-4.800000
9219999.793152,-4.880000
9240000.331776,-4.840000
9259999.821824,-4.840000
9280000.360448,-4.760000
9299999.850496,-4.880000
9320000.389120,-4.840000
9339999.879168,-4.880000
9360000.417792,-4.840000
9379999.907840,-4.840000
9400000.446464,-4.840000
9419999.936512,-4.880000
9440000.475136,-5.040000
9459999.965184,-4.800000
9480000.503808,-4.840000
9499999.993856,-5.000000
9519999.483904,-4.800000
9540000.022528,-5.000000
9559999.512576,-4.880000
9580000.051200,-4.800000
9599999.541248,-4.800000
9620000.079872,-4.840000
9639999.569920,-4.840000
9660000.108544,-4.840000
9679999.598592,-5.000000
9700000.137216,-4.800000
9719999.627264,-4.840000
9740000.165888,-4.840000
9759999.655936,-4.800000
9780000.194560,-4.840000
9799999.684608,-4.840000
9820000.223232,-4.840000
9839999.713280,-4.840000
9860000.251904,-4.840000
9879999.741952,-4.840000
9900000.280576,-4.800000
9919999.770624,-4.800000
9940000.309248,-4.840000
9959999.799296,-4.800000
9980000.337920,-4.880000
9999999.827968,-4.800000
10020000.366592,-4.800000
10039999.856640,-4.800000
10060000.395264,-4.800000
10079999.885312,-4.840000
10100000.423936,-4.840000
10119999.913984,-4.840000
10140000.452608,-4.840000
10159999.942656,-5.000000
10180000.481280,-4.840000
10199999.971328,-4.800000
10220000.509952,-4.840000
10240000.000000,-4.800000
10259999.490048,-4.840000
10280000.028672,-4.800000
10299999.518720,-4.800000
10320000.057344,-4.800000
10339999.547392,-4.840000
10360000.086016,-4.840000
10379999.576064,-4.800000
10400000.114688,-4.800000
10419999.604736,-4.880000
10440000.143360,-4.800000
10459999.633408,-4.760000
10480000.172032,-4.800000
10499999.662080,-4.840000
10520000.200704,-4.800000
